Processo_ID,Primeiro Resultado,Todos os Resultados,Total Vereditos
08025512820238152003,Nenhuma Sentença,-,-
08001401220238152003,Outros,Outros | Outros,2
08023844520228152003,Nenhuma Sentença,-,-
08077341420228152003,Outros,Outros,1
08075510920238152003,Nenhuma Sentença,-,-
08041226820228152003,Nenhuma Sentença,-,-
08044197520228152003,Ganho,Ganho | Ganho,2
08067632920228152003,Outros,Outros | Outros,2
08028292920238152003,Nenhuma Sentença,-,-
08012066120228152003,Outros,Outros,1
08070846420228152003,Ganho,Ganho,1
08049580720238152003,Outros,Outros | Outros,2
08003599320218152003,Outros,Outros,1
08024802620238152003,Ganho,Ganho | Ganho,2
08015415220238152001,Outros,Outros,1
08078152620238152003,Acordo,Acordo | Acordo,2
08118905520168152003,Perdido,Perdido | Perdido,2
08017557120228152003,Nenhuma Sentença,-,-
08302945320228152001,Outros,Outros,1
08061706320238152003,Nenhuma Sentença,-,-
08012479120238152003,Ganho,Ganho,1
08064471620228152003,Acordo,Acordo | Acordo,2
08064806920238152003,Ganho,Ganho | Ganho,2
08021860820228152003,Outros,Outros,1
08062125420198152003,Outros,Outros,1
08001375720238152003,Outros,Outros,1
08007610920238152003,Nenhuma Sentença,-,-
08078078320228152003,Nenhuma Sentença,-,-
08020215820228152003,Nenhuma Sentença,-,-
08012045720238152003,Outros,Outros,1
08025221220228152003,Outros,Outros | Outros | Outros | Outros,4
08075093320188152003,Outros,Outros | Outros,2
08000388720238152003,Nenhuma Sentença,-,-
08071045520228152003,Nenhuma Sentença,-,-
08023446320228152003,Nenhuma Sentença,-,-
08046613420228152003,Outros,Outros | Outros,2
08000345020238152003,Outros,Outros,1
08016405020228152003,Outros,Outros | Outros,2
08060926920238152003,Acordo,Acordo,1
08054827220218152003,Outros,Outros,1
08047075720218152003,Nenhuma Sentença,-,-
08049157020238152003,Acordo,Acordo,1
08044973520238152003,Outros,Outros,1
08037721720218152003,Ganho,Ganho | Ganho,2
08060216720238152003,Nenhuma Sentença,-,-
08060549120228152003,Ganho,Ganho,1
08049312420238152003,Nenhuma Sentença,-,-
08457978020238152001,Nenhuma Sentença,-,-
08040732720228152003,Outros,Outros | Outros | Outros | Outros,4
08002890820238152003,Outros,Outros | Outros,2
08458690420228152001,Nenhuma Sentença,-,-
08029384320238152003,Outros,Outros,1
08036628120228152003,Nenhuma Sentença,-,-
08068412320228152003,Acordo,Acordo | Acordo,2
08004903420228152003,Nenhuma Sentença,-,-
08014854720228152003,Nenhuma Sentença,-,-
08060130320178152003,Outros,Outros | Outros,2
08053605920218152003,Nenhuma Sentença,-,-
08036844220228152003,Outros,Outros,1
08042976220228152003,Outros,Outros,1
08029939620208152003,Nenhuma Sentença,-,-
08007112220198152003,Acordo,Acordo | Acordo,2
08509104920228152001,Outros,Outros | Outros,2
08005751020198150941,Acordo,Acordo,1
08508351020228152001,Ganho,Ganho,1
08005620620228150941,Outros,Outros,1
08021312320238152003,Nenhuma Sentença,-,-
08029574920238152003,Acordo,Acordo | Acordo,2
08021563620238152003,Acordo,Acordo | Acordo,2
08001822720248152003,Acordo,Acordo | Acordo,2
08006521420228150941,Outros,Outros,1
08010436620228150941,Nenhuma Sentença,-,-
08005932620228150941,Outros,Outros,1
08006911120228150941,Outros,Outros,1
08510907520168152001,Outros,Outros | Outros,2
08006071020228150941,Outros,Outros | Outros,2
08006166920228150941,Outros,Outros,1
08008655420218150941,Outros,Outros | Outros,2
08003009020218150941,Nenhuma Sentença,-,-
08005638820228150941,Outros,Outros | Outros | Outros,3
08000254420218150941,Ganho,Ganho | Ganho,2
08005742020228150941,Outros,Outros,1
08007041020228150941,Outros,Outros,1
08003439020228150941,Outros,Outros,1
08005647320228150941,Outros,Outros,1
08007153920228150941,Outros,Outros | Outros | Outros,3
08000987920228150941,Outros,Outros | Outros | Outros,3
08001273220228150941,Outros,Outros,1
08005941120228150941,Outros,Outros | Outros | Outros,3
08005907120228150941,Outros,Outros,1
08006512920228150941,Outros,Outros | Outros,2
08006366020228150941,Outros,Outros,1
08006253120228150941,Outros,Outros,1
08005612120228150941,Outros,Outros,1
08006850420228150941,Outros,Outros,1
08006261620228150941,Outros,Outros,1
08006885620228150941,Outros,Outros,1
08005898620228150941,Outros,Outros,1
08003946720238150941,Outros,Outros | Outros | Outros,3
08005551420228150941,Outros,Outros | Outros | Outros,3
08005335320228150941,Outros,Outros | Outros,2
08005603620228150941,Outros,Outros,1
08005733520228150941,Outros,Outros,1
08005578120228150941,Outros,Outros,1
08010202320228150941,Outros,Outros | Outros,2
08006322320228150941,Outros,Outros | Outros | Outros,3
08006296820228150941,Outros,Outros,1
08006452220228150941,Outros,Outros | Outros | Outros,3
08006010320228150941,Outros,Outros,1
08006045520228150941,Outros,Outros,1
08006357520228150941,Outros,Outros,1
08006963320228150941,Outros,Outros,1
08006114720228150941,Outros,Outros,1
08006651320228150941,Outros,Outros | Outros | Outros,3
08006894120228150941,Outros,Outros,1
08006877120228150941,Outros,Outros,1
08006807920228150941,Outros,Outros,1
08006349020228150941,Outros,Outros | Outros | Outros,3
08006504420228150941,Outros,Outros,1
08005309820228150941,Outros,Outros,1
08006738720228150941,Outros,Outros,1
08001922720228150941,Outros,Outros | Outros | Outros | Outros,4
08000006020238150941,Ganho,Ganho | Ganho,2
08006703520228150941,Outros,Outros,1
08005569620228150941,Outros,Outros,1
08006140220228150941,Outros,Outros | Outros | Outros,3
08006460720228150941,Outros,Outros,1
08005542920228150941,Outros,Outros,1
08009336720228150941,Outros,Outros | Outros,2
08006374520228150941,Outros,Outros,1
08006227620228150941,Outros,Outros,1
08006570220238150941,Acordo,Acordo,1
08000095620228150941,Outros,Outros,1
08006841920228150941,Outros,Outros | Outros | Outros,3
08006686520228150941,Outros,Outros,1
08005352320228150941,Outros,Outros | Outros | Outros,3
08006868620228150941,Outros,Outros,1
08003675520218150941,Perdido,Perdido | Outros,2
08006409720228150941,Outros,Outros,1
08006106220228150941,Outros,Outros,1
08005664320228150941,Outros,Outros | Outros | Outros,3
08000181820228150941,Perdido,Perdido | Perdido | Perdido,3
08006929320228150941,Outros,Outros,1
08003850820238150941,Acordo,Acordo,1
08001290220228150941,Outros,Outros,1
08005655820228150941,Outros,Outros | Outros | Outros,3
08003363520218150941,Outros,Outros | Outros,2
08006478920228150941,Outros,Outros | Outros | Outros,3
08005318320228150941,Outros,Outros,1
08004876420228150941,Acordo,Acordo,1
08009189820228150941,Outros,Outros | Outros,2
08007032520228150941,Outros,Outros,1
08006236120228150941,Outros,Outros,1
08001308420228150941,Outros,Outros,1
08005716520228150941,Outros,Outros,1
08006131720228150941,Outros,Outros,1
08006054020228150941,Outros,Outros | Outros | Outros,3
08001281720228150941,Outros,Outros,1
08006123220228150941,Outros,Outros,1
08008955520228150941,Outros,Outros,1
08006089220228150941,Outros,Outros,1
08010038420228150941,Outros,Outros,1
08008999220228150941,Outros,Outros | Outros | Outros,3
08001053720238150941,Outros,Outros,1
08008981020228150941,Outros,Outros | Outros | Outros,3
08009431420228150941,Nenhuma Sentença,-,-
08305855320228152001,Outros,Outros,1
08009240820228150941,Outros,Outros,1
08014582020208150941,Ganho,Ganho,1
08008712720228150941,Outros,Outros | Outros,2
08010067320218150941,Falha,,
08004440620178150941,Ganho,Ganho,1
08009129120228150941,Nenhuma Sentença,-,-
08001091620198150941,Ganho,Ganho | Ganho | Ganho,3
08009232820198150941,Perdido,Perdido | Perdido | Outros,3
08006175420228150941,Outros,Outros,1
08004027820228150941,Outros,Outros | Outros,2
08006816420228150941,Outros,Outros,1
08008436420198150941,Perdido,Perdido | Perdido,2
08010878520228150941,Outros,Outros,1
08006824920228150941,Outros,Outros,1
00003948120158150941,Perdido,Perdido | Perdido,2
08020177420208150941,Ganho,Ganho | Ganho,2
08009016220228150941,Outros,Outros,1
08005108320178150941,Ganho,Ganho,1
08003265420228150941,Outros,Outros,1
00008226820128150941,Acordo,Acordo | Outros,2
08009304920218150941,Outros,Outros,1
08009414920198150941,Perdido,Perdido | Perdido,2
08007122120218150941,Nenhuma Sentença,-,-
08005871920228150941,Outros,Outros,1
08006268920178150941,Ganho,Ganho,1
08006256520218150941,Ganho,Ganho | Ganho,2
08010895520228150941,Outros,Outros,1
08010915920218150941,Outros,Outros | Outros,2
08010907420218150941,Outros,Outros | Outros,2
08001325920198150941,Outros,Outros | Outros,2
08004650620228150941,Acordo,Acordo,1
08003843320178150941,Ganho,Ganho,1
08004905820188150941,Outros,Outros,1
08003661220178150941,Ganho,Ganho,1
08000428020218150941,Outros,Outros | Outros,2
08005673320198150941,Outros,Outros | Ganho | Ganho,3
08004233020178150941,Ganho,Ganho,1
08006836820218150941,Ganho,Ganho,1
08003470620178150941,Ganho,Ganho,1
00003693920138150941,Outros,Outros | Outros | Outros,3
08000777920178150941,Perdido,Perdido | Perdido,2
08010887020228150941,Outros,Outros,1
08005173620218150941,Nenhuma Sentença,-,-
08005730620208150941,Ganho,Ganho | Ganho,2
08006667120178150941,Ganho,Ganho | Acordo,2
08009799020218150941,Acordo,Acordo | Acordo,2
08007916320228150941,Outros,Outros | Outros | Outros,3
08000892520198150941,Outros,Outros | Outros,2
08003672120228150941,Outros,Outros,1
08014703420208150941,Outros,Outros,1
08003652720178150941,Ganho,Ganho,1
00003746620108150941,Perdido,Perdido | Perdido,2
08002879120218150941,Nenhuma Sentença,-,-
08003332220178150941,Ganho,Ganho,1
08003834820178150941,Ganho,Ganho,1
08008895320198150941,Acordo,Acordo | Acordo | Acordo,3
08007690520228150941,Outros,Outros | Outros | Outros,3
08001333920228150941,Outros,Outros,1
08001909620188150941,Acordo,Acordo | Acordo,2
08008586220218150941,Outros,Outros,1
08002084920208150941,Perdido,Perdido,1
08006539620228150941,Outros,Outros,1
08003851320208150941,Outros,Outros,1
08050783920218150251,Outros,Outros | Outros | Outros,3
08006747220228150941,Outros,Outros,1
08006279820228150941,Outros,Outros,1
08007170920228150941,Outros,Outros,1
08001819520228150941,Perdido,Perdido | Perdido,2
08009709420228150941,Outros,Outros | Outros,2
08008964020228150941,Outros,Outros,1
08000245920218150941,Outros,Outros,1
08003640820188150941,Perdido,Perdido | Perdido | Perdido,3
08011071320218150941,Acordo,Acordo,1
08002157020228150941,Perdido,Perdido,1
08003095220218150941,Nenhuma Sentença,-,-
08003909820218150941,Acordo,Acordo,1
08000278220198150941,Outros,Outros | Outros | Outros,3
08012945520208150941,Perdido,Perdido | Perdido | Perdido,3
08006799420228150941,Outros,Outros,1
08013595020208150941,Perdido,Perdido | Perdido | Perdido,3
08005725020228150941,Outros,Outros,1
08006712020228150941,Outros,Outros,1
08009007720228150941,Outros,Outros,1
08006781220228150941,Outros,Outros,1
08008972520228150941,Outros,Outros,1
08009353720228150941,Outros,Outros | Outros,2
08006655220188150941,Outros,Outros,1
08008906720218150941,Outros,Outros | Outros,2
08006902620228150941,Outros,Outros,1
08006669520228150941,Outros,Outros,1
08005739820238150941,Ganho,Ganho,1
08001914220228150941,Outros,Outros | Outros | Outros,3
08008672420218150941,Outros,Outros | Outros,2
08003124120208150941,Ganho,Ganho,1
08007231620228150941,Outros,Outros,1
08006937820228150941,Outros,Outros | Outros | Outros,3
08001348720238150941,Outros,Outros | Outros,2
08022991520208150941,Perdido,Perdido | Perdido | Perdido,3
08004178120218150941,Ganho,Ganho | Ganho,2
08004268220178150941,Ganho,Ganho,1
08005064620178150941,Ganho,Ganho,1
08001239220228150941,Nenhuma Sentença,-,-
08007162420228150941,Outros,Outros,1
08008591820198150941,Outros,Outros | Outros | Perdido,3
08006946320228150941,Outros,Outros,1
08000875020228150941,Perdido,Perdido | Perdido,2
08005915620228150941,Outros,Outros,1
08001905720228150941,Outros,Outros,1
08005880420228150941,Outros,Outros,1
08001931220228150941,Outros,Outros | Outros,2
08006037020228150941,Outros,Outros,1
08009198320228150941,Outros,Outros | Outros,2
08006097720228150941,Outros,Outros,1
08003727720218150941,Ganho,Ganho | Ganho | Acordo | Acordo,4
08003504820238150941,Outros,Outros | Outros,2
08005920720238150941,Outros,Outros,1
08006192420228150941,Outros,Outros,1
08006200920228150941,Outros,Outros,1
08006062520228150941,Outros,Outros | Outros,2
08004446920188150941,Outros,Outros | Outros,2
08006183920228150941,Outros,Outros,1
08006244620228150941,Outros,Outros,1
08005993320228150941,Outros,Outros,1
08005965420178150941,Ganho,Ganho,1
08008687220228150941,Outros,Outros | Outros | Outros,3
08006001820228150941,Outros,Outros,1
08006028520228150941,Outros,Outros,1
08006288320228150941,Outros,Outros,1
08006330820228150941,Outros,Outros,1
08006313820228150941,Outros,Outros,1
08005924120228150941,Outros,Outros,1
08006548120228150941,Outros,Outros,1
08006495920228150941,Outros,Outros,1
08006305320228150941,Outros,Outros,1
08006556620228150941,Outros,Outros,1
08006391520228150941,Outros,Outros,1
08006219120228150941,Outros,Outros,1
08001897220228150941,Outros,Outros,1
08000473420238150941,Nenhuma Sentença,-,-
08006755720228150941,Outros,Outros,1
08023667720208150941,Ganho,Ganho | Ganho,2
08009328220228150941,Outros,Outros,1
08006487420228150941,Outros,Outros,1
08009206820228150941,Outros,Outros | Outros,2
08010551720218150941,Acordo,Acordo,1
08006678020228150941,Outros,Outros,1
08006418220228150941,Outros,Outros,1
08008306520198150941,Perdido,Perdido | Perdido | Perdido,3
08006565120228150941,Outros,Outros,1
08006833420228150941,Outros,Outros,1
08006135620188150941,Outros,Outros | Outros,2
08000623720228150941,Outros,Outros | Outros,2
08003964720178150941,Ganho,Ganho,1
08007339420218150941,Outros,Outros | Outros,2
08000407620228150941,Outros,Outros,1
08006720520228150941,Outros,Outros,1
08005343820228150941,Outros,Outros,1
08003973220178150941,Ganho,Ganho,1
08009746820218150941,Outros,Outros | Outros | Outros | Outros | Outros | Outros,6
08000514720188150941,Outros,Outros | Outros | Outros,3
08003248420228150941,Outros,Outros,1
08009024720228150941,Outros,Outros | Outros,2
08005263720178150941,Ganho,Ganho,1
08001195520228150941,Outros,Outros,1
08005368120178150941,Ganho,Ganho,1
08003309120228150941,Outros,Outros,1
08003290920228150941,Outros,Outros,1
08010237520228150941,Outros,Outros,1
08011517220178150391,Outros,Outros,1
08003273920228150941,Outros,Outros | Outros | Outros,3
08003230220228150941,Outros,Outros,1
08003256920228150941,Outros,Outros,1
08003173420188150941,Outros,Outros | Outros,2
08015006920208150941,Outros,Outros | Outros,2
08006383020228150941,Outros,Outros,1
08005554820218150941,Nenhuma Sentença,-,-
08003219520238150941,Ganho,Ganho,1
08001146720218150941,Outros,Outros | Outros | Outros,3
08005586620228150941,Outros,Outros,1
08002185920218150941,Perdido,Perdido | Perdido | Perdido,3
08003083320228150941,Perdido,Perdido | Perdido | Perdido,3
08005595120228150941,Outros,Outros,1
08005534420228150941,Outros,Outros,1
08000944720198150941,Perdido,Perdido | Perdido,2
08001872820188150041,Nenhuma Sentença,-,-
08006954820228150941,Outros,Outros,1
00000527020158150941,Outros,Outros | Outros,2
08004866320228150041,Outros,Outros,1
08000996420228150941,Outros,Outros,1
00003828220068150941,Outros,Outros | Outros,2
08001107720228150041,Outros,Outros,1
08005842420178150041,Outros,Outros,1
08000375320248150941,Acordo,Acordo,1
08000429320238150041,Ganho,Ganho,1
08002354520228150041,Ganho,Ganho,1
08002692520198150041,Ganho,Ganho,1
00006156420158150941,Outros,Outros | Outros | Outros | Outros | Outros,5
08004939420188150041,Outros,Outros,1
08000986820198150041,Outros,Outros,1
08001831520238150041,Ganho,Ganho,1
08001578520218150041,Ganho,Ganho | Ganho,2
08013512320218150041,Ganho,Ganho,1
08011477620218150041,Ganho,Ganho | Ganho,2
08013556020218150041,Ganho,Ganho | Outros,2
08013409120218150041,Ganho,Ganho | Ganho,2
08004733020238150041,Ganho,Ganho,1
08010365920208150031,Ganho,Ganho | Ganho,2
08013824320218150041,Ganho,Ganho | Ganho | Ganho | Outros,4
08001814520238150041,Ganho,Ganho | Ganho,2
08001457120218150041,Outros,Outros | Outros,2
08000813220198150041,Ganho,Ganho | Ganho,2
00005842820158150041,Perdido,Perdido,1
08004615020228150041,Ganho,Ganho,1
08011321020218150041,Outros,Outros | Outros,2
08004748820188150041,Ganho,Ganho,1
08000163220228150041,Ganho,Ganho | Ganho,2
08008905120218150041,Outros,Outros | Outros | Outros,3
08006249820208150041,Ganho,Ganho,1
08004415920228150041,Ganho,Ganho,1
08008361720238150041,Nenhuma Sentença,-,-
08002436120188150041,Ganho,Ganho,1
08144403920218150001,Perdido,Perdido | Perdido,2
08002013620238150041,Ganho,Ganho,1
08011771420218150041,Ganho,Ganho | Ganho,2
08000238720238150041,Ganho,Ganho,1
08005308220228150041,Acordo,Acordo | Acordo,2
08154009220218150001,Acordo,Acordo,1
08005731920228150041,Acordo,Acordo | Acordo,2
08008027620228150041,Ganho,Ganho,1
08002444120218150041,Acordo,Acordo | Acordo,2
08001437220198150041,Ganho,Ganho | Ganho,2
08009713420208150041,Outros,Outros | Outros,2
08002980720218150041,Acordo,Acordo | Acordo,2
00003570420168150041,Acordo,Acordo | Acordo,2
08001725420218150041,Ganho,Ganho | Ganho,2
08003028320178150041,Ganho,Ganho | Ganho,2
08000524520208150041,Ganho,Ganho | Ganho,2
00022506920128150041,Nenhuma Sentença,-,-
08014075620218150041,Acordo,Acordo | Acordo,2
08008723020218150041,Ganho,Ganho | Ganho,2
08002683520228150041,Nenhuma Sentença,-,-
08064543920188150001,Ganho,Ganho | Ganho,2
08005241220218150041,Ganho,Ganho | Ganho,2
08010342520218150041,Nenhuma Sentença,-,-
08014023420218150041,Outros,Outros | Ganho | Ganho,3
08002147420198150041,Acordo,Acordo | Acordo,2
08003544020218150041,Perdido,Perdido | Perdido,2
08004571820198150041,Perdido,Perdido | Perdido,2
08003888320198150041,Ganho,Ganho | Ganho,2
08006211220218150041,Perdido,Perdido | Perdido,2
08002014120208150041,Ganho,Ganho | Ganho | Acordo | Acordo,4
08003536020188150041,Ganho,Ganho | Ganho,2
08010048720218150041,Ganho,Ganho,1
08013313220218150041,Outros,Outros | Outros,2
08011047620208150041,Acordo,Acordo,1
08000325420208150041,Perdido,Perdido | Perdido,2
08010432120208150041,Outros,Outros | Outros,2
00000155719978150041,Outros,Outros,1
08001713520228150041,Outros,Outros | Outros,2
08003657420188150041,Ganho,Ganho,1
08002761220228150041,Extinto,Extinto | Extinto,2
08007952120218150041,Nenhuma Sentença,-,-
08005310420218150041,Ganho,Ganho | Outros | Outros | Acordo | Acordo,5
08012005720218150041,Nenhuma Sentença,-,-
08010005020218150041,Outros,Outros,1
08000316920208150041,Perdido,Perdido | Perdido,2
08004615520198150041,Perdido,Perdido | Perdido,2
08004312020198150041,Perdido,Perdido,1
08002317120238150041,Outros,Outros,1
08002830920198150041,Perdido,Perdido,1
08011806620218150041,Perdido,Perdido,1
08004120920228150041,Outros,Outros,1
08001145120218150041,Perdido,Perdido | Perdido,2
08000905220238150041,Nenhuma Sentença,-,-
00006524120168150041,Perdido,Perdido,1
08004306920188150041,Ganho,Ganho | Outros | Outros | Outros,4
08004756820218150041,Ganho,Ganho | Outros,2
08003856520188150041,Ganho,Ganho | Ganho,2
08006709220178150041,Perdido,Perdido | Outros | Outros,3
08003876920178150041,Perdido,Perdido | Perdido,2
08002306220188150041,Outros,Outros | Outros,2
08002124120188150041,Perdido,Perdido | Perdido,2
08003446420198150041,Outros,Outros | Outros,2
08009139420218150041,Outros,Outros | Outros,2
08005337620188150041,Outros,Outros | Outros,2
08004473220238150041,Nenhuma Sentença,-,-
08003913820198150041,Ganho,Ganho | Ganho,2
08003645020228150041,Ganho,Ganho | Ganho,2
08008930620218150041,Ganho,Ganho | Ganho,2
08006705320218150041,Ganho,Ganho,1
08007045720238150041,Nenhuma Sentença,-,-
08000151820208150041,Perdido,Perdido | Perdido,2
08012230320218150041,Ganho,Ganho | Ganho | Outros | Outros,4
08004647820178150041,Ganho,Ganho | Ganho | Acordo | Acordo,4
08003824220208150041,Outros,Outros | Outros,2
08010507620218150041,Ganho,Ganho | Ganho | Outros,3
08008547720198150041,Perdido,Perdido,1
08010394720218150041,Ganho,Ganho | Ganho,2
08000437820238150041,Ganho,Ganho | Ganho,2
08001526820188150041,Ganho,Ganho | Ganho,2
08010576820218150041,Ganho,Ganho | Ganho,2
08002652220188150041,Outros,Outros | Outros,2
08001823520208150041,Ganho,Ganho | Ganho,2
08004549220218150041,Ganho,Ganho | Ganho,2
08005138020218150041,Ganho,Ganho | Ganho,2
08006948120218150041,Ganho,Ganho | Ganho | Outros | Outros,4
08001596020188150041,Ganho,Ganho | Ganho,2
08005821520218150041,Outros,Outros | Outros | Ganho | Ganho | Perdido | Perdido,6
08001526320218150041,Ganho,Ganho | Ganho,2
08008717420238150041,Acordo,Acordo | Acordo,2
08013937220218150041,Ganho,Ganho | Ganho,2
08000837020178150041,Ganho,Ganho | Ganho,2
08001258020218150041,Ganho,Ganho | Ganho | Ganho,3
08013859520218150041,Ganho,Ganho,1
08012981320198150041,Outros,Outros,1
08008689020218150041,Ganho,Ganho | Ganho,2
08003818620228150041,Ganho,Ganho,1
08010446920218150041,Acordo,Acordo,1
08009251120218150041,Ganho,Ganho,1
00016391920128150041,Outros,Outros,1
08004741520238150041,Nenhuma Sentença,-,-
08012447620218150041,Nenhuma Sentença,-,-
08010463920218150041,Ganho,Ganho | Ganho,2
08001202420228150041,Ganho,Ganho,1
08008714520218150041,Ganho,Ganho | Ganho,2
08008670820218150041,Ganho,Ganho | Ganho,2
08005922520228150041,Ganho,Ganho,1
